mapid,fid,sem,sub
8a04,31,8a,Services Oriented Architectures
8b01,38,8b,Software Architectures
8b02,27,8b,System Modeling and Simulation
8b03,32,8b,Information and Network Security
8b04,24,8b,Services Oriented Architectures
8c01,38,8c,Software Architectures
8c02,29,8c,System Modeling and Simulation
8c03,30,8c,Information and Network Security
8c04,24,8c,Services Oriented Architectures
mtech201,8,mtech2,Managing Big Data
mtech202,16,mtech2,Advances in Computer Networks
mtech203,40,mtech2,Advanced Algorithms
mtech204,15,mtech2,Internet of Things
mtech205,2,mtech2,Web Services
mtech401,14,mtech4,Machine Learning & Techniques
mtech402,21,mtech4,Business Intelligence and its Applications
2aCCP,29,2a,Programming in C and Data Structures
2bCCP,30,2b,Programming in C and Data Structures
2cCCP,25,2c,Programming in C and Data Structures
MEdCCP,36,MEd,Programming in C and Data Structures
MEeCCP,32,MEe,Programming in C and Data Structures
MEfCCP,35,MEf,Programming in C and Data Structures
ISgCCP,36,ISg,Programming in C and Data Structures
2aA1A2CCPl,29,2a,Computer Programming Lab
2aA1A2CCPl,36,2a,Computer Programming Lab
2aA1A2CCPl,41,2a,Computer Programming Lab
2aA3A4CCPl,33,2a,Computer Programming Lab
2aA3A4CCPl,41,2a,Computer Programming Lab
2aA3A4CCPl,42,2a,Computer Programming Lab
2bB1B2CCPl,30,2b,Computer Programming Lab
2bB1B2CCPl,32,2b,Computer Programming Lab
2bB1B2CCPl,41,2b,Computer Programming Lab
2bB3B4CCPl,37,2b,Computer Programming Lab
2bB3B4CCPl,39,2b,Computer Programming Lab
2bB3B4CCPl,42,2b,Computer Programming Lab
2cC1C2CCPl,25,2c,Computer Programming Lab
2cC1C2CCPl,34,2c,Computer Programming Lab
2cC1C2CCPl,41,2c,Computer Programming Lab
2cC3C4CCPl,37,2c,Computer Programming Lab
2cC3C4CCPl,38,2c,Computer Programming Lab
2cC3C4CCPl,39,2c,Computer Programming Lab
MEdD1D2CCPl,35,MEd,Computer Programming Lab
MEdD1D2CCPl,36,MEd,Computer Programming Lab
MEdD1D2CCPl,42,MEd,Computer Programming Lab
MEdD3D4CCPl,32,MEd,Computer Programming Lab
MEdD3D4CCPl,36,MEd,Computer Programming Lab
MEdD3D4CCPl,38,MEd,Computer Programming Lab
MEeE1E2CCPl,32,MEe,Computer Programming Lab
MEeE1E2CCPl,37,MEe,Computer Programming Lab
MEeE1E2CCPl,43,MEe,Computer Programming Lab
MEeE3E4CCPl,35,MEe,Computer Programming Lab
MEeE3E4CCPl,43,MEe,Computer Programming Lab
MEeE3E4CCPl,34,MEe,Computer Programming Lab
MEfF1F2CCPl,29,MEf,Computer Programming Lab
MEfF1F2CCPl,38,MEf,Computer Programming Lab
MEfF1F2CCPl,35,MEf,Computer Programming Lab
MEfF3F4CCPl,33,MEf,Computer Programming Lab
MEfF3F4CCPl,41,MEf,Computer Programming Lab
MEfF3F4CCPl,42,MEf,Computer Programming Lab
ISgG1G2CCPl,36,ISg,Computer Programming Lab
ISgG1G2CCPl,35,ISg,Computer Programming Lab
ISgG1G2CCPl,39,ISg,Computer Programming Lab
ISgG3G4CCPl,30,ISg,Computer Programming Lab
ISgG3G4CCPl,33,ISg,Computer Programming Lab
ISgG3G4CCPl,42,ISg,Computer Programming Lab
